building_id,fold,model,h,mae,nmae
Bobcat_education_Angela,fold0,seasonal_naive,1,12.251649305555556,2.444588535560866
Bobcat_education_Angela,fold0,seasonal_naive,2,12.347052777777776,2.463624522359915
Bobcat_education_Angela,fold0,seasonal_naive,3,12.430607638888887,2.4802963393919275
Bobcat_education_Angela,fold0,seasonal_naive,4,12.52601111111111,2.4993323261909772
Bobcat_education_Angela,fold0,seasonal_naive,5,12.621414583333333,2.5183683129900274
Bobcat_education_Angela,fold0,seasonal_naive,6,12.716879166666667,2.537416493373622
Bobcat_education_Angela,fold0,seasonal_naive,7,12.812282638888888,2.5564524801726716
Bobcat_education_Angela,fold0,seasonal_naive,8,12.895837083333332,2.573124214066607
Bobcat_education_Angela,fold0,seasonal_naive,9,12.967358888888889,2.5873950588764116
Bobcat_education_Angela,fold0,seasonal_naive,10,13.062761666666665,2.606430907112
Bobcat_education_Angela,fold0,seasonal_naive,11,13.18204625,2.630231925049528
Bobcat_education_Angela,fold0,seasonal_naive,12,13.30133111111111,2.6540329984124393
Bobcat_education_Angela,fold0,seasonal_naive,13,13.40864472222222,2.6754454317011476
Bobcat_education_Angela,fold0,seasonal_naive,14,13.527990555555556,2.699258670935912
Bobcat_education_Angela,fold0,seasonal_naive,15,13.647275416666666,2.723059744298823
Bobcat_education_Angela,fold0,seasonal_naive,16,13.766560277777778,2.746860817661735
Bobcat_education_Angela,fold0,seasonal_naive,17,13.909726527777778,2.7754269775885083
Bobcat_education_Angela,fold0,seasonal_naive,18,14.029011805555553,2.799228134089496
Bobcat_education_Angela,fold0,seasonal_naive,19,14.160206805555553,2.825405653942066
Bobcat_education_Angela,fold0,seasonal_naive,20,14.291462916666665,2.851595367379181
Bobcat_education_Angela,fold0,seasonal_naive,21,14.410747777777775,2.8753964407420924
Bobcat_education_Angela,fold0,seasonal_naive,22,14.518122499999999,2.8968210676153454
Bobcat_education_Angela,fold0,seasonal_naive,23,14.625496805555557,2.9182456113505224
Bobcat_education_Angela,fold0,seasonal_naive,24,14.744781388888889,2.9420466292880496
Bobcat_education_Angela,fold0,lgbm_direct,1,3.2685223783004784,0.6521727920006902
Bobcat_education_Angela,fold0,lgbm_direct,2,3.682053067951889,0.7346851426085398
Bobcat_education_Angela,fold0,lgbm_direct,3,4.291890225227695,0.8563667942829355
Bobcat_education_Angela,fold0,lgbm_direct,4,4.754273660352481,0.9486268007807339
Bobcat_education_Angela,fold0,lgbm_direct,5,5.220717181494167,1.0416969218584367
Bobcat_education_Angela,fold0,lgbm_direct,6,5.912859233126624,1.1798009829690528
Bobcat_education_Angela,fold0,lgbm_direct,7,6.501232320381925,1.2971998790576509
Bobcat_education_Angela,fold0,lgbm_direct,8,7.089700396346221,1.4146177283747674
Bobcat_education_Angela,fold0,lgbm_direct,9,8.102389978191397,1.6166810816522783
Bobcat_education_Angela,fold0,lgbm_direct,10,7.116935275224496,1.4200519414356187
Bobcat_education_Angela,fold0,lgbm_direct,11,8.016951380710218,1.599633400096279
Bobcat_education_Angela,fold0,lgbm_direct,12,7.557538933335637,1.5079661988945114
Bobcat_education_Angela,fold0,lgbm_direct,13,7.680043028437785,1.5324096104693246
Bobcat_education_Angela,fold0,lgbm_direct,14,7.128032984012235,1.4222662826232333
Bobcat_education_Angela,fold0,lgbm_direct,15,6.590774550079677,1.3150663640270193
Bobcat_education_Angela,fold0,lgbm_direct,16,6.662052955533284,1.329288642877748
Bobcat_education_Angela,fold0,lgbm_direct,17,6.43502303650158,1.283989049047344
Bobcat_education_Angela,fold0,lgbm_direct,18,6.596876326640187,1.31628385994568
Bobcat_education_Angela,fold0,lgbm_direct,19,6.60925187732427,1.3187531706947107
Bobcat_education_Angela,fold0,lgbm_direct,20,6.353972979397435,1.2678170190241291
Bobcat_education_Angela,fold0,lgbm_direct,21,6.667744228188278,1.3304242303842269
Bobcat_education_Angela,fold0,lgbm_direct,22,6.716183375881499,1.340089360536907
Bobcat_education_Angela,fold0,lgbm_direct,23,7.1075575767111205,1.4181807962776074
Bobcat_education_Angela,fold0,lgbm_direct,24,7.447937054229769,1.48609718432709
Bobcat_education_Angela,fold0,lgbm_recursive,1,3.2685223783004784,0.6521727920006902
Bobcat_education_Angela,fold0,lgbm_recursive,2,6.081036543509499,1.213357634375734
Bobcat_education_Angela,fold0,lgbm_recursive,3,7.532787225407174,1.503027456368635
Bobcat_education_Angela,fold0,lgbm_recursive,4,8.69522251641909,1.7349697781628541
Bobcat_education_Angela,fold0,lgbm_recursive,5,9.35874718677829,1.8673637735971162
Bobcat_education_Angela,fold0,lgbm_recursive,6,9.963031558571863,1.9879374703022052
Bobcat_education_Angela,fold0,lgbm_recursive,7,10.57340275385155,2.1097256793183337
Bobcat_education_Angela,fold0,lgbm_recursive,8,11.001274460922357,2.1950995129720483
Bobcat_education_Angela,fold0,lgbm_recursive,9,11.419290521085395,2.278506835763398
Bobcat_education_Angela,fold0,lgbm_recursive,10,11.69853338858223,2.33422455143539
Bobcat_education_Angela,fold0,lgbm_recursive,11,11.848139930172561,2.364075751653045
Bobcat_education_Angela,fold0,lgbm_recursive,12,12.055586410421647,2.405467834850318
Bobcat_education_Angela,fold0,lgbm_recursive,13,12.205615273478973,2.435403301454546
Bobcat_education_Angela,fold0,lgbm_recursive,14,12.37600533909078,2.4694014669733066
Bobcat_education_Angela,fold0,lgbm_recursive,15,12.51049684845333,2.496236743899564
Bobcat_education_Angela,fold0,lgbm_recursive,16,12.659103151513332,2.5258883651394757
Bobcat_education_Angela,fold0,lgbm_recursive,17,12.823057805943382,2.5586024641620293
Bobcat_education_Angela,fold0,lgbm_recursive,18,13.035386414736989,2.600968685222003
Bobcat_education_Angela,fold0,lgbm_recursive,19,13.269695742011168,2.647720749449772
Bobcat_education_Angela,fold0,lgbm_recursive,20,13.540133028007409,2.701681475262812
Bobcat_education_Angela,fold0,lgbm_recursive,21,13.812375338088158,2.756002360028606
Bobcat_education_Angela,fold0,lgbm_recursive,22,14.055832764613868,2.8045797571560303
Bobcat_education_Angela,fold0,lgbm_recursive,23,14.255216760984778,2.844363121790996
Bobcat_education_Angela,fold0,lgbm_recursive,24,14.402511093682673,2.8737529637695025
Bobcat_education_Angela,fold0,lgbm_multioutput,1,3.2685223783004784,0.6521727920006902
Bobcat_education_Angela,fold0,lgbm_multioutput,2,3.682053067951889,0.7346851426085398
Bobcat_education_Angela,fold0,lgbm_multioutput,3,4.291890225227695,0.8563667942829355
Bobcat_education_Angela,fold0,lgbm_multioutput,4,4.754273660352481,0.9486268007807339
Bobcat_education_Angela,fold0,lgbm_multioutput,5,5.220717181494167,1.0416969218584367
Bobcat_education_Angela,fold0,lgbm_multioutput,6,5.912859233126624,1.1798009829690528
Bobcat_education_Angela,fold0,lgbm_multioutput,7,6.501232320381925,1.2971998790576509
Bobcat_education_Angela,fold0,lgbm_multioutput,8,7.089700396346221,1.4146177283747674
Bobcat_education_Angela,fold0,lgbm_multioutput,9,8.102389978191397,1.6166810816522783
Bobcat_education_Angela,fold0,lgbm_multioutput,10,7.116935275224496,1.4200519414356187
Bobcat_education_Angela,fold0,lgbm_multioutput,11,8.016951380710218,1.599633400096279
Bobcat_education_Angela,fold0,lgbm_multioutput,12,7.557538933335637,1.5079661988945114
Bobcat_education_Angela,fold0,lgbm_multioutput,13,7.680043028437785,1.5324096104693246
