building_id,site_id,fold,model,mae,rmse,nmae,n,skill,mean_load,zero_frac,lgbm_sec
Bobcat_education_Angela,Bobcat,fold0,seasonal_naive,13.423135821759258,27.92085413918302,2.678336860839578,17280,1.0,5.01174292824074,0.9180555555555555,8.1
Bobcat_education_Angela,Bobcat,fold0,lgbm_direct,6.468615471939467,16.289346945055783,1.2906917941639375,17280,0.4819004707866898,5.01174292824074,0.9180555555555555,8.1
Bobcat_education_Angela,Bobcat,fold0,lgbm_recursive,9.025966429897444,17.872418826501395,1.8009635687889936,17280,0.6724186173595974,5.01174292824074,0.9180555555555555,8.1
Bobcat_education_Angela,Bobcat,fold0,lgbm_multioutput,6.468615471939467,16.289346945055783,1.2906917941639375,17280,0.4819004707866898,5.01174292824074,0.9180555555555555,8.1
Bobcat_education_Angela,Bobcat,fold0,lstm_seq2seq,9.276544593903369,15.902157496304607,1.8509617765170752,15336,0.6910862496724383,5.01174292824074,0.9180555555555555,8.1
Bobcat_education_Angela,Bobcat,fold0,transformer,4.8471893084284785,13.858575273589686,0.9671663885860913,15336,0.3611070745906524,5.01174292824074,0.9180555555555555,8.1
Bobcat_education_Angela,Bobcat,fold1,seasonal_naive,29.87973840277778,39.736346431855615,0.7102064990671005,17280,1.0,42.071902245370374,0.021527777777777778,8.5
Bobcat_education_Angela,Bobcat,fold1,lgbm_direct,19.084307570946613,26.421123633218635,0.45361171119964433,17280,0.6387039710217957,42.071902245370374,0.021527777777777778,8.5
Bobcat_education_Angela,Bobcat,fold1,lgbm_recursive,14.976588362929073,21.040733008176773,0.3559760211359853,17280,0.501228898360662,42.071902245370374,0.021527777777777778,8.5
Bobcat_education_Angela,Bobcat,fold1,lgbm_multioutput,19.084307570946613,26.421123633218635,0.45361171119964433,17280,0.6387039710217957,42.071902245370374,0.021527777777777778,8.5
Bobcat_education_Angela,Bobcat,fold1,lstm_seq2seq,29.33302321110205,34.86439948447621,0.6972117172175137,17280,0.9817028119755926,42.071902245370374,0.021527777777777778,8.5
Bobcat_education_Angela,Bobcat,fold1,transformer,17.62629482904611,27.19402528844209,0.41895645046536306,17280,0.5899079366574198,42.071902245370374,0.021527777777777778,8.5
Bobcat_education_Angela,Bobcat,fold2,seasonal_naive,26.25235772569445,34.74864110001967,1.1495996168181217,17280,1.0,22.836087748842594,0.46319444444444446,8.8
Bobcat_education_Angela,Bobcat,fold2,lgbm_direct,7.807691534422301,13.740240901068901,0.34190145090934065,17280,0.2974091552462938,22.836087748842594,0.46319444444444446,8.8
Bobcat_education_Angela,Bobcat,fold2,lgbm_recursive,9.117791087679754,14.403080776917665,0.39927115309590944,17280,0.3473132273660789,22.836087748842594,0.46319444444444446,8.8
Bobcat_education_Angela,Bobcat,fold2,lgbm_multioutput,7.807691534422301,13.740240901068901,0.34190145090934065,17280,0.2974091552462938,22.836087748842594,0.46319444444444446,8.8
Bobcat_education_Angela,Bobcat,fold2,lstm_seq2seq,13.926275979216983,21.967842834999566,0.6098363315284954,17280,0.5304771527468051,22.836087748842594,0.46319444444444446,8.8
Bobcat_education_Angela,Bobcat,fold2,transformer,13.73833964871892,21.05248484859981,0.6016065361027185,17280,0.5233183164829628,22.836087748842594,0.46319444444444446,8.8
Bobcat_education_Angela,Bobcat,fold3,seasonal_naive,7.45852412037037,11.922219206714088,0.21067375363676114,17280,1.0,35.40319565972222,0.0,9.0
Bobcat_education_Angela,Bobcat,fold3,lgbm_direct,8.952607245945417,13.022555102675064,0.2528756819580185,17280,1.2003188702567145,35.40319565972222,0.0,9.0
Bobcat_education_Angela,Bobcat,fold3,lgbm_recursive,7.7738550302567715,11.608244626286922,0.21958060241157806,17280,1.0422779231919603,35.40319565972222,0.0,9.0
Bobcat_education_Angela,Bobcat,fold3,lgbm_multioutput,8.952607245945417,13.022555102675064,0.2528756819580185,17280,1.2003188702567145,35.40319565972222,0.0,9.0
Bobcat_education_Angela,Bobcat,fold3,lstm_seq2seq,21.314530605369495,26.4192905295711,0.6020510354555019,17280,2.857741057263092,35.40319565972222,0.0,9.0
Bobcat_education_Angela,Bobcat,fold3,transformer,10.423735788507283,15.32749629165948,0.29442923426164713,17280,1.3975601097861259,35.40319565972222,0.0,9.0
